title,artist,year,location,neighbourhood,medium,commissioned_by,source_url,source_name,confidence,notes,discovered_at
"Concrete Roses","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Two women hanging out in the desert by a stream. One is on the phone and the other is on a motor cycle. Artist name needs to be extracted from DTNYXE artist page.",2026-01-11T23:59:00
"Nurturing Fragility","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Nature-themed piece with flowers and butterflies showing interconnectedness of nature. Artist name needs to be extracted.",2026-01-11T23:59:00
"Prairie Prisme","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Representation of the prairies and boundless colors with rainbow prism structure. Artist name needs to be extracted.",2026-01-11T23:59:00
"Spring Thunderbirds","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"piyesiw (Cree word for thunderbird) bringing rain for spring flowers. Artist name needs to be extracted.",2026-01-11T23:59:00
"Business of Thieves","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Clouds and dreaming inspired by Saskatoon cloudscapes with family heritage cloth. Artist name needs to be extracted.",2026-01-11T23:59:00
"Goose Loop","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Ode to Canada Goose, iconic Saskatoon resident. Artist name needs to be extracted.",2026-01-11T23:59:00
"Paper Boat #2","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Acrylic painting series - fox and girl with paper boat in galaxy sky. Artist name needs to be extracted.",2026-01-11T23:59:00
"Confetti Squares and Bars","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Saskatchewan dainties tradition - sculptural acrylic paintings. Artist name needs to be extracted.",2026-01-11T23:59:00
"After Aries","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Digital photo-collage with great-grandma's 1920 quilt and Lake Huron. Artist name needs to be extracted.",2026-01-11T23:59:00
"Womens Work","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Indigenous women and MMIW representation. Artist name needs to be extracted.",2026-01-11T23:59:00
"Pink Trees","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Surrealist birch trees with eyes and doorway to fantasy world. Artist name needs to be extracted.",2026-01-11T23:59:00
"Night Viper","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Retro sci-fi and horror movie poster style digital painting. Artist name needs to be extracted.",2026-01-11T23:59:00
"Thunderbird Garden","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Heritage and future - Thunderbird as creator and destroyer. Artist name needs to be extracted.",2026-01-11T23:59:00
"Yellow-shafted Flicker","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Oil on canvas - flicker bird in fall with snowflakes. Artist name needs to be extracted.",2026-01-11T23:59:00
"Ia Zhway (Joy)","[Artist name on DTNYXE - click ARTIST tab]",2024,"Alleys between 2nd + 3rd Aves S and 20th + 21st Sts E, Downtown Saskatoon",Downtown,paint,Downtown Saskatoon,https://dtnyxe.ca/alley-gallery-2/,DTNYXE - Alley Gallery 2024,medium,"Indigenous culture celebration with prairie sunset and dancer. Artist name needs to be extracted.",2026-01-11T23:59:00
"Global Roots Mural Mosaic","Lewis Lavoie (Art Director) + Community Artists",2024,"K.W. Nasser Plaza, River Landing, Saskatoon",Downtown,"mosaic, paint","Downtown Saskatoon, Global Roots, Triovest",https://dtnyxe.ca/global-roots-mural-mosaic-now-installed/,DTNYXE Downtown Blog,high,"Community mural mosaic project with tree symbol connecting the world. Lewis Lavoie is art director.",2026-01-11T23:59:00
